Name,OBJECTID,LEVEL_,DISTRICT,ADDRESS,CITY,ZIP,TYPE,DESCRIPT,SHAPE_Leng,SHAPE_Area,geometry
Peoples High School,1,High,Vallejo City Unified,233 Hobbs St.,Vallejo,94589,Other Alternative School,Public,1774.27910774000,182486.35430700000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.247808,38.132117 -122.247914,38.132097 -122.248147,38.132059 -122.248335,38.132027 -122.248532,38.13199 -122.248727,38.13196 -122.248921,38.131923 -122.249117,38.131889 -122.249314,38.131855 -122.249508,38.131822 -122.249681,38.131791 -122.249759,38.132831 -122.248666,38.132879 -122.248336,38.1329 -122.248139,38.132911 -122.248098,38.132915 -122.248086,38.132916 -122.248076,38.132919 -122.248061,38.132928 -122.248046,38.132935 -122.248031,38.132938 -122.247972,38.132944 -122.247896,38.132947 -122.247808,38.132117</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Mary Bird School,2,High,Fairfield-Suisun Unified,420 E. Tabor Ave.,Fairfield,94533,Other Alternative School,Public,1467.27608035000,117076.96682800000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.028895,38.267027 -122.028901,38.266843 -122.028901,38.266665 -122.0289,38.26649 -122.028899,38.266312 -122.028901,38.266139 -122.0289,38.265952 -122.028902,38.26578 -122.028903,38.265579 -122.029778,38.265593 -122.029783,38.265797 -122.02978,38.265971 -122.02978,38.266154 -122.029783,38.266315 -122.029782,38.266502 -122.029781,38.266648 -122.029726,38.266688 -122.029541,38.266771 -122.029367,38.266847 -122.029188,38.266924 -122.029006,38.267002 -122.028895,38.267054 -122.028895,38.267027</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Dover Middle School,3,Middle,Fairfield-Suisun Unified,301 E. Alaska Ave.,Fairfield,94533,Regular School,Public,2592.12500475000,413765.33191600000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.028813,38.272524 -122.028819,38.272294 -122.028808,38.271983 -122.028808,38.27182 -122.028807,38.271649 -122.028809,38.271487 -122.028818,38.271316 -122.028818,38.271147 -122.02882,38.270981 -122.028824,38.270809 -122.028834,38.270633 -122.028834,38.270605 -122.02884,38.270494 -122.029029,38.270495 -122.029329,38.270494 -122.029535,38.270495 -122.029744,38.270496 -122.029964,38.270498 -122.030164,38.2705 -122.030384,38.270502 -122.030609,38.270503 -122.030655,38.270503 -122.030769,38.270505 -122.030757,38.272111 -122.030754,38.272542 -122.028813,38.272524</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Tolenas Elementary School,4,Primary,Fairfield-Suisun Unified,4500 Tolenas Road,Fairfield,94533,Regular School,Public,2613.94460110000,423196.25883599999,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.995724,38.262065 -121.99572,38.261658 -121.998155,38.261669 -121.998195,38.261669 -121.998185,38.262489 -121.998162,38.263311 -121.998127,38.26331 -121.997387,38.263305 -121.996539,38.2633 -121.995693,38.263295 -121.995715,38.262475 -121.995724,38.262065</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Charles L. Sullivan Middle School,5,Middle,Fairfield-Suisun Unified,2195 Union Ave.,Fairfield,94533,Regular School,Public,2888.50849714000,519624.00730699999,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.040599,38.268207 -122.040577,38.266382 -122.040998,38.26639 -122.041473,38.266389 -122.041932,38.26639 -122.042102,38.266392 -122.042704,38.266396 -122.042884,38.2664 -122.043297,38.266406 -122.043303,38.26753 -122.043302,38.268237 -122.043151,38.26824 -122.042932,38.268239 -122.042899,38.268238 -122.041515,38.268218 -122.040599,38.268207</coordinates></LinearRing></outerBoundaryIs></Polygon>"
H. Glenn Richardson Elementary,6,Primary,Fairfield-Suisun Unified,1069 Meadowlark Dr.,Fairfield,94533,Regular School,Public,2678.82514501000,437673.48677600001,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.012268,38.268131 -122.012272,38.267933 -122.012274,38.267748 -122.012273,38.267581 -122.012276,38.267416 -122.012274,38.267238 -122.012274,38.267068 -122.012276,38.266896 -122.012275,38.266729 -122.012273,38.266558 -122.014289,38.266599 -122.014709,38.266597 -122.014936,38.266602 -122.014966,38.266603 -122.014965,38.266634 -122.014961,38.266805 -122.014955,38.266957 -122.014955,38.267124 -122.014953,38.267288 -122.014949,38.267458 -122.014937,38.267798 -122.014929,38.267867 -122.014925,38.268167 -122.012268,38.268131</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Bransford Elementary School,7,Primary,Fairfield-Suisun Unified,900 Travis Blvd.,Fairfield,94533,Regular School,Public,3668.04551811000,518425.32467499998,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.043893,38.259123 -122.043886,38.258343 -122.044602,38.258344 -122.045103,38.258389 -122.045101,38.260127 -122.045112,38.260562 -122.045116,38.260754 -122.044922,38.260874 -122.044839,38.260926 -122.044753,38.260978 -122.043885,38.261308 -122.043883,38.260534 -122.042993,38.260533 -122.04221,38.260531 -122.042211,38.260062 -122.042971,38.260062 -122.042945,38.25913 -122.043893,38.259123</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Cleo Gordon Elementary School,8,Primary,Fairfield-Suisun Unified,1950 Dover Ave.,Fairfield,94533,Regular School,Public,2895.96277550000,455092.02196799999,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.024406,38.267316 -122.024199,38.267312 -122.023993,38.26731 -122.023791,38.267307 -122.023584,38.267304 -122.023355,38.2673 -122.023146,38.267296 -122.022946,38.267292 -122.022739,38.267288 -122.022533,38.267285 -122.022326,38.267281 -122.022119,38.267277 -122.021899,38.267276 -122.021897,38.267189 -122.021907,38.267026 -122.021916,38.266863 -122.021918,38.266687 -122.021924,38.266526 -122.021925,38.266358 -122.021927,38.266191 -122.021929,38.266024 -122.021932,38.265873 -122.021932,38.265839 -122.02193,38.265765 -122.022441,38.265772 -122.022439,38.265897 -122.022651,38.2659 -122.02266,38.2659 -122.022886,38.265904 -122.023221,38.265909 -122.023484,38.265913 -122.023487,38.265792 -122.024885,38.265802 -122.024879,38.267318 -122.02463,38.267319 -122.024406,38.267316</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Armijo High School,9,High,Fairfield-Suisun Unified,824 Washington St.,Fairfield,94533,Regular School,Public,7525.89199291000,1978752.29780000010,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.034333,38.253749 -122.034334,38.253327 -122.034339,38.252723 -122.034341,38.252424 -122.034347,38.251453 -122.034347,38.251416 -122.034347,38.25138 -122.034347,38.251281 -122.03435,38.251244 -122.034355,38.251207 -122.034365,38.251123 -122.034372,38.251085 -122.034379,38.251048 -122.034388,38.251011 -122.034417,38.250894 -122.034431,38.250858 -122.034445,38.250822 -122.034459,38.250786 -122.034476,38.250744 -122.034487,38.250709 -122.034504,38.250673 -122.034521,38.250639 -122.034539,38.250603 -122.034558,38.250569 -122.034579,38.250535 -122.034601,38.250487 -122.034624,38.250454 -122.034645,38.25042 -122.034669,38.250387 -122.034692,38.250355 -122.034747,38.250281 -122.034774,38.25025 -122.034801,38.250219 -122.034829,38.250188 -122.034853,38.250158 -122.034886,38.250124 -122.034915,38.250096 -122.034946,38.250067 -122.034977,38.250038 -122.035009,38.25001 -122.035038,38.249986 -122.035071,38.249958 -122.035104,38.249931 -122.035133,38.249903 -122.035167,38.249877 -122.035202,38.249852 -122.03524,38.249827 -122.035276,38.249802 -122.035313,38.249779 -122.035348,38.249755 -122.035387,38.249732 -122.035425,38.24971 -122.035465,38.249688 -122.035503,38.249667 -122.035543,38.249646 -122.035583,38.249626 -122.035625,38.249606 -122.035665,38.249587 -122.035707,38.249569 -122.035749,38.249551 -122.035792,38.249534 -122.035834,38.249517 -122.035877,38.249501 -122.035921,38.249485 -122.035965,38.24947 -122.036008,38.249456 -122.036053,38.249442 -122.036099,38.249429 -122.036144,38.249417 -122.036189,38.249405 -122.036234,38.249394 -122.03628,38.249383 -122.036325,38.249373 -122.036394,38.249357 -122.036821,38.249302 -122.039022,38.249313 -122.039016,38.250144 -122.037688,38.25012 -122.037677,38.251046 -122.037934,38.251046 -122.037931,38.250927 -122.039019,38.250911 -122.038999,38.252395 -122.038997,38.252525 -122.038994,38.252809 -122.03899,38.252924 -122.039039,38.253118 -122.038577,38.253107 -122.038587,38.25349 -122.038458,38.253487 -122.03766,38.253466 -122.037666,38.253939 -122.037459,38.253941 -122.037262,38.253937 -122.037091,38.253937 -122.036912,38.253934 -122.036741,38.253926 -122.036562,38.253918 -122.036397,38.253915 -122.036219,38.253912 -122.036043,38.253909 -122.035873,38.253906 -122.035693,38.253898 -122.035518,38.25389 -122.035337,38.253887 -122.035161,38.253884 -122.034994,38.253881 -122.034828,38.253878 -122.034346,38.253853 -122.034334,38.253852 -122.034333,38.253749</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-122.037902,38.250448 -122.039012,38.250432 -122.039007,38.250838 -122.037916,38.25085 -122.037902,38.250448</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
Anna Kyle Elementary School,10,Primary,Fairfield-Suisun Unified,1600 Kidder Ave.,Fairfield,94533,Regular School,Public,2514.02356171000,397877.71024799999,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.029649,38.260158 -122.029415,38.260154 -122.029326,38.260155 -122.029176,38.260152 -122.028954,38.260148 -122.028716,38.260145 -122.028499,38.260143 -122.028446,38.260142 -122.02827,38.26014 -122.028005,38.260136 -122.028004,38.260056 -122.028006,38.259888 -122.028004,38.259713 -122.028003,38.259557 -122.028007,38.259386 -122.028011,38.259209 -122.028014,38.259028 -122.028016,38.258863 -122.028013,38.258682 -122.028013,38.258512 -122.028014,38.258352 -122.028015,38.258334 -122.028465,38.258327 -122.029344,38.258343 -122.030034,38.258341 -122.030041,38.258341 -122.030048,38.258342 -122.030055,38.258343 -122.030062,38.258344 -122.030069,38.258347 -122.030076,38.258349 -122.030083,38.258353 -122.030088,38.258357 -122.030093,38.25836 -122.030098,38.258365 -122.030103,38.25837 -122.030107,38.258376 -122.030109,38.258382 -122.03011,38.258387 -122.030112,38.258392 -122.030112,38.258398 -122.030114,38.258403 -122.030112,38.258408 -122.030118,38.258452 -122.030097,38.260162 -122.029875,38.26016 -122.029649,38.260158</coordinates></LinearRing></outerBoundaryIs></Polygon>"
